,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Duygu
0,-1093.2765,498.0633,-169.20485,247.13614,-64.921585,165.56328,-55.265068,82.39175,-13.086182,44.192146,28.230278,-14.704927,26.533949,-35.921974,50.47422,-22.07895,33.386856,-20.019543,20.324781,-1.4854758,cats
0,-1481.866,473.18896,48.222958,63.932823,67.59257,-4.512174,-28.802387,-11.447031,-52.443604,-49.359535,-6.6157203,-37.368793,-47.625095,-28.39487,-38.43582,-36.97069,-20.496555,-26.746387,-31.406174,-33.292213,cats
0,-1044.057,274.37177,-273.73886,230.8378,-120.499245,70.05211,13.453162,46.28708,80.75489,106.13728,114.24349,34.73474,25.615522,-77.17862,-12.085126,30.489779,52.23688,5.5736375,12.656481,85.38559,cats
0,-1264.0408,523.8032,-78.50261,151.54814,-28.810118,56.3794,-36.312817,13.002955,-6.788925,-0.9244351,12.927009,-12.866664,6.359367,-36.74587,-0.34443972,-22.8885,-0.17825109,-20.390177,-8.196877,-1.0510089,cats
0,-868.09393,356.03128,-164.69025,298.65033,-59.757126,128.2446,-58.744865,122.78056,-19.992542,-18.23193,32.85263,13.30904,113.62183,41.50419,110.40266,30.71338,-52.039555,-66.526436,97.13544,8.70786,cats
0,-1189.2999,620.2737,-130.77925,201.77327,-162.03952,168.14467,-96.08727,78.04139,-43.95468,38.66593,18.953514,-0.34596,51.238365,-41.347675,47.272224,-49.04601,34.50429,-35.365356,8.706547,-13.589415,cats
0,-776.6243,385.00113,-177.7523,166.5074,-86.36879,77.3964,-1.1522819,2.4223785,-23.204855,-21.214127,43.403114,17.452011,111.20894,7.82774,-60.079384,-62.992702,-52.70649,16.99075,6.6199007,-72.78175,cats
0,-1042.5555,362.67896,-166.67856,2.6989634,-113.64314,4.0826135,-73.95664,-46.43164,-19.115444,-28.649126,-34.49947,-50.583405,-14.256434,-49.43516,-15.301146,-21.251318,-13.758259,-9.80471,-9.648394,6.2804427,cats
0,-874.51965,733.3104,-244.73671,-53.41742,128.50644,-12.534065,-81.47411,38.04963,21.00778,-54.247158,-11.692762,-0.5121085,-5.8793683,-26.634136,-20.462475,-2.3027256,-11.834282,-17.581715,-24.867405,-13.321446,cats
0,-1159.1373,79.7317,-351.94504,104.88712,-131.1246,63.916145,-115.670296,39.57271,25.545553,16.85974,0.29896045,-13.7357435,11.64773,-68.966125,23.447853,-39.305912,29.241856,46.619728,70.56345,70.01407,cats
0,-1426.3546,304.531,-21.433048,-16.041508,-65.247826,-14.99188,-22.701475,-116.72258,-76.089554,-43.320873,-38.539062,-7.474811,-31.471252,-32.53292,5.8084874,22.04978,44.81369,59.085957,52.797485,16.914455,cats
