,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Duygu
0,-1170.7759,473.73755,-242.52428,-119.704506,-110.62878,-118.733215,-87.60587,-82.2983,-24.41979,-44.335434,-8.393582,30.266653,2.9094324,17.558325,-11.567267,-53.129383,-28.989086,-4.916411,-17.999683,-17.981218,dogs
0,-1099.2621,640.12463,33.718475,-60.427483,-117.02652,-33.233444,-70.531204,-12.945978,-22.090963,-53.430786,-29.309738,-27.782825,6.4561186,-9.944894,8.097114,46.552067,56.87723,25.064526,13.740432,13.75048,dogs
0,-1612.7677,317.0687,218.92009,139.76892,104.24982,90.95554,80.50641,71.971146,66.59862,60.36036,49.665844,34.31699,16.927668,1.7741598,-8.072462,-12.350503,-12.3654585,-10.524165,-10.168457,-13.063952,dogs
0,-1166.8873,657.1193,39.95202,-20.23511,-14.624713,18.049438,-66.05768,-19.04057,8.5404625,-16.507254,-4.6554804,9.135176,16.13154,-3.4500084,4.535086,20.644009,39.626106,15.753446,26.527172,23.900084,dogs
0,-1021.49335,482.36926,-221.20642,-101.587234,-167.78886,12.461024,-66.1362,22.073978,56.49107,10.373621,28.808895,-56.802364,-16.958702,-16.970156,-23.06482,-19.350801,-33.341793,-21.184175,-29.531527,-34.89574,dogs
0,-920.17426,314.8672,-222.51741,283.4576,-210.11813,254.4593,-101.48666,135.62737,-64.531815,48.40741,-8.898738,-18.468378,41.618874,-58.21159,57.985107,-67.461555,45.719242,-54.98045,25.074438,-31.022976,dogs
0,-1320.39,388.09946,-335.69388,-151.04402,-117.56482,-75.347374,-70.03108,8.579846,-34.477234,-10.962403,-24.310057,-41.334,-2.8771596,-16.977491,14.694685,-0.7261653,13.265299,0.0961367,3.190129,-9.204823,dogs
0,-1664.0106,329.06818,188.88957,94.69792,2.2710898,-34.51608,-16.483524,-2.2287965,9.086841,13.436879,3.9119697,-7.5980144,-6.272291,-1.1916628,-3.6647828,4.7562976,12.881333,6.2531276,4.3988805,5.5220547,dogs
0,-1667.4708,475.77707,78.366516,54.313377,38.220383,48.74099,34.497364,35.05072,6.290555,4.344196,10.205951,12.545689,15.6344385,19.561558,32.111294,6.5011196,15.7510605,19.629398,8.650695,-2.8607814,dogs
0,-765.62354,550.6261,-275.89145,-82.358795,-201.80064,55.088272,-102.89481,36.5084,-17.224272,40.6022,8.885518,-48.190067,-17.75261,-54.831837,19.795918,-37.84288,1.8563033,-31.786013,34.172474,7.626874,dogs
0,-1437.9266,521.7148,27.864836,-54.936535,-60.039745,-37.005753,-41.75135,8.1577635,-11.056755,18.561716,9.008066,5.3503084,7.5606275,-5.5824857,40.687565,27.206087,18.631931,0.39369977,-12.17666,-33.700043,dogs
0,-1388.6764,496.18005,-30.842094,-30.247093,-118.0228,-33.545036,-73.826805,-79.7612,-64.40016,-32.939827,-4.5747995,-25.34227,-3.091144,1.7043612,-6.5140233,-36.799274,-10.582431,-1.9739836,-10.684917,-12.950421,dogs
0,-1019.60236,580.7587,-260.54636,-201.61133,-166.65967,-165.26929,-97.31043,-61.677677,-44.493477,-53.95386,19.642405,4.766937,-40.191696,56.15944,47.581287,-45.501247,-45.82607,-16.685148,-27.748268,-45.445953,dogs
0,-1330.406,471.75415,-42.89653,101.40227,-106.02863,73.65902,2.3299766,11.997188,32.00876,36.92583,15.39494,8.337776,58.762005,-4.9189897,-8.619849,-23.726677,-3.0043998,-0.47690013,8.583026,-8.889738,dogs
0,-975.54785,629.1002,88.44483,216.02986,-38.98187,57.79782,5.7097273,-8.353708,-18.167757,24.429007,4.555225,5.8021216,22.273022,-33.292744,-0.87245846,-54.560806,1.7330067,-8.787432,-26.833086,-3.7361467,dogs
0,-1170.7759,473.73755,-242.52428,-119.704506,-110.62878,-118.733215,-87.60587,-82.2983,-24.41979,-44.335434,-8.393582,30.266653,2.9094324,17.558325,-11.567267,-53.129383,-28.989086,-4.916411,-17.999683,-17.981218,dogs
0,-799.053,727.16,-125.436066,-134.06778,-112.10912,4.4385967,-191.48369,2.929232,-125.45764,-48.533127,4.751477,-80.660805,1.346269,-71.537125,-23.064505,34.768543,51.969765,20.381296,38.15677,8.506674,dogs
0,-1712.1893,521.1735,-24.773201,-111.13163,-72.5342,22.729578,-44.731293,-32.13023,-32.773853,-14.770686,24.62733,10.429424,21.418184,28.977869,21.957754,-3.0871625,-0.69124216,-17.169674,-17.285461,-19.702557,dogs
0,-1547.3618,456.78073,122.032646,9.61917,8.504472,27.783714,14.75586,17.243975,-15.3902645,-45.571903,-49.520485,-43.97727,-14.881639,5.592191,29.596352,30.937843,9.982129,-5.7858076,-6.0092072,0.1962197,dogs
0,-1063.2148,477.2696,-44.95094,72.292076,-34.788567,83.66958,-41.39625,33.07984,-31.974047,-19.83982,10.218534,0.8359558,19.39392,-11.164908,29.437155,-3.3234267,61.08925,15.762647,13.081803,40.645275,dogs
0,-231.28615,564.3124,-264.04883,211.79211,-162.43413,140.3189,-98.15769,117.61015,-32.11348,24.078737,-6.8009024,-41.86338,18.708939,-58.476242,32.788715,-64.17848,23.63927,-46.05394,12.4955,-9.77945,dogs
