,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Duygu
0,-1989.6737,187.04402,77.35047,54.803585,-11.535819,-40.370697,-48.517765,-19.686028,-77.67186,3.9715655,-46.031082,5.16818,-23.204578,-20.37942,-19.569727,31.574644,-27.397627,-14.505507,0.30307946,-11.818251,human
0,-1052.1398,598.1729,-203.04759,224.0256,78.24171,-62.788567,-27.811762,-69.94689,-53.25248,-27.324888,-8.9661455,2.9584365,-7.80246,-13.865058,-24.967731,-2.5542207,-24.75879,-17.901693,-5.0670166,-24.48914,human
0,-1959.9229,236.0373,65.62617,8.373357,-36.533215,-47.87756,-39.832817,-12.417873,-70.11303,-0.021913346,-58.033688,2.74436,-14.2936945,1.1709696,-28.787617,34.381496,-38.23911,-12.605842,10.576457,-28.327347,human
0,-2584.513,84.62608,42.699974,-1.3593799,-26.076044,-15.572105,-36.765022,-8.532823,-31.64767,2.7721188,-16.316912,3.379773,-13.695999,8.179306,-7.0739875,6.4880147,-8.877223,-9.944868,5.441203,-10.225653,human
0,-1150.7938,636.77655,-150.00801,148.08043,53.2114,-78.87707,5.1363297,-47.738907,-51.9746,-14.92873,-23.36644,0.7279772,-2.697351,-21.396778,-0.6878205,-1.7614542,-32.805824,-12.376425,-1.2725744,-16.448902,human
0,-1113.642,669.04364,-88.18834,97.218834,36.75369,-52.718025,5.1272187,-46.924923,-55.846848,-36.5838,-15.733989,26.463114,10.10869,-23.339117,-9.066635,0.51850253,-44.19227,-27.505726,11.679874,-28.546162,human
0,-2426.9023,129.8809,-13.07817,36.635757,15.997016,12.573037,-33.63685,-10.903915,-76.13998,3.4204652,-42.910305,10.89984,-22.98136,7.540255,-18.112648,25.936094,-25.499811,-9.910507,-2.5453906,-5.2668123,human
0,-2022.7428,193.79105,173.29909,15.204155,-28.907167,63.65438,-106.00744,7.095289,-59.202354,31.228722,-75.66566,5.4269776,-10.65478,-12.895124,-22.111803,-3.5709589,-3.9748213,-14.026509,4.5620804,-15.683464,human
0,-1735.7509,230.79205,-7.4024296,107.39345,90.925674,-2.7271273,-23.276093,-33.757954,-166.40086,32.052425,-65.43045,21.17426,-72.42281,21.641829,-20.3754,24.866804,-47.539246,-24.84313,-9.433266,-28.470062,human
0,-2115.5017,74.8198,57.263027,59.202396,40.452473,17.071991,-34.823772,-12.819873,-85.09209,2.07148,-54.672337,14.087024,-29.973577,15.387461,-20.810877,18.015404,-24.524708,-14.324529,-11.663916,-9.425104,human
