,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Duygu
0,-273.31912,124.51582,-42.301212,61.784035,-16.230396,41.39082,-13.816267,20.597937,-3.2715454,11.048037,7.0575695,-3.6762319,6.633487,-8.980494,12.618555,-5.5197377,8.346714,-5.0048857,5.0811954,-0.37136894,cats
0,-370.4665,118.29724,12.055739,15.983206,16.898142,-1.1280435,-7.200597,-2.8617578,-13.110901,-12.339884,-1.6539301,-9.342198,-11.906274,-7.0987177,-9.608955,-9.242673,-5.124139,-6.686597,-7.8515434,-8.323053,cats
0,-261.01425,68.59294,-68.434715,57.70945,-30.124811,17.513027,3.3632905,11.57177,20.188723,26.53432,28.560873,8.683685,6.4038806,-19.294655,-3.0212815,7.6224446,13.05922,1.3934094,3.1641202,21.346397,cats
0,-316.0102,130.9508,-19.625652,37.887035,-7.2025294,14.09485,-9.078204,3.2507389,-1.6972313,-0.23110877,3.2317522,-3.216666,1.5898417,-9.186467,-0.08610993,-5.722125,-0.044562772,-5.097544,-2.0492191,-0.26275223,cats
0,-217.02348,89.00782,-41.17256,74.66258,-14.939281,32.06115,-14.686216,30.69514,-4.9981356,-4.5579824,8.213158,3.32726,28.405458,10.376047,27.600664,7.678345,-13.009889,-16.631609,24.28386,2.176965,cats
0,-297.32498,155.06842,-32.694813,50.443317,-40.50988,42.036167,-24.021818,19.510347,-10.98867,9.666483,4.7383785,-0.08649,12.809591,-10.336919,11.818056,-12.261502,8.626073,-8.841339,2.1766367,-3.3973536,cats
0,-194.15608,96.25028,-44.438076,41.62685,-21.592197,19.3491,-0.28807047,0.60559464,-5.8012137,-5.3035316,10.850779,4.363003,27.802235,1.956935,-15.019846,-15.748176,-13.176622,4.2476873,1.6549752,-18.195438,cats
0,-260.6389,90.66974,-41.66964,0.67474085,-28.410786,1.0206534,-18.48916,-11.60791,-4.778861,-7.1622815,-8.624867,-12.645851,-3.5641086,-12.35879,-3.8252864,-5.3128295,-3.4395647,-2.4511776,-2.4120984,1.5701107,cats
0,-218.62991,183.3276,-61.184177,-13.354355,32.12661,-3.1335163,-20.368528,9.512407,5.251945,-13.5617895,-2.9231906,-0.12802713,-1.4698421,-6.658534,-5.1156187,-0.5756814,-2.9585705,-4.3954287,-6.216851,-3.3303616,cats
0,-289.78433,19.932924,-87.98626,26.22178,-32.78115,15.979036,-28.917574,9.893177,6.3863883,4.214935,0.07474011,-3.4339359,2.9119325,-17.241531,5.8619633,-9.826478,7.310464,11.654932,17.640863,17.503517,cats
0,-356.58865,76.13275,-5.358262,-4.010377,-16.311956,-3.74797,-5.675369,-29.180645,-19.022388,-10.830218,-9.634766,-1.8687028,-7.867813,-8.13323,1.4521219,5.512445,11.203423,14.771489,13.199371,4.228614,cats
0,-332.89297,89.67001,57.64447,21.382065,-39.88327,12.75407,-7.3690734,4.2115617,-13.110276,-5.8177567,-0.37254405,-3.3692322,13.683494,-5.2835975,5.5591784,8.535848,7.0612206,5.7217407,2.5802264,-7.357601,cats
0,-283.51312,110.42778,-46.49463,8.091956,-31.841408,5.1328683,-21.695278,-8.383385,-6.3380165,-6.32802,-7.003706,-13.943419,-4.845384,-13.666163,-2.0679014,-4.145746,4.4530025,0.031732585,1.8833696,4.3572006,cats
0,-280.03094,109.93842,-48.041943,5.455309,-34.924095,6.428155,-21.479692,-9.509962,-6.877505,-5.5386868,-6.5463524,-13.659314,-4.866991,-14.709802,-3.6117399,-7.1061215,1.3116525,-0.59979695,4.5446258,8.665427,cats
0,-289.86835,122.63435,-35.037952,58.136917,-17.889843,39.657642,-12.858131,21.474096,-2.433627,10.11219,7.3455644,-3.6225595,7.1288013,-8.936883,10.892452,-5.616647,8.42565,-5.224138,3.7619328,-0.7668542,cats
0,-262.1302,126.19409,-36.404297,57.451523,-11.363729,39.777245,-12.216234,16.068972,-4.643462,7.7997923,4.993401,-6.574248,3.5364537,-7.8563375,12.614544,-4.815083,7.7750716,-3.8630016,4.157643,0.13275728,cats
0,-377.7491,66.65644,5.093321,15.105472,4.4026365,5.279941,10.2981415,6.250144,-2.8230155,-6.4189305,-8.021904,-6.991467,-1.9596312,-3.092496,0.3841641,-0.62305063,-3.9681382,-3.2458973,-2.5176735,-2.2246213,cats
0,-212.46832,98.79646,-79.53171,63.115887,-34.04621,32.47451,-24.306242,17.249195,5.074736,2.3127403,6.6463284,-6.7049723,9.993522,-10.381456,10.189684,1.1310576,12.624187,6.03954,10.696976,8.347897,cats
0,-336.03903,92.10866,-106.33042,-25.401566,15.112375,20.346111,-4.7712007,-0.069234386,-4.322855,-0.5574197,15.2740755,-6.3705025,-11.905934,-8.268477,-6.46431,1.0115573,0.42755002,-4.7547517,-0.20808384,1.0715694,cats
0,-345.11072,30.245554,-101.53021,54.147713,-42.056015,30.35486,-32.64101,7.989285,-11.75403,-3.8800476,-9.121774,-4.997468,24.215979,4.5671363,28.136261,5.765713,11.764223,0.107220314,6.2483487,-4.063722,cats
0,-384.4811,65.77866,13.5444975,18.835863,11.812515,10.3055,10.614185,8.983645,4.988056,1.180532,4.328402,2.8066885,0.99499375,0.33082262,0.3794238,3.7364447,6.200371,5.608107,2.566203,-1.919269,cats
0,-172.5964,115.96177,-89.44023,1.280749,-50.912197,11.974656,-18.399782,13.141333,3.4242163,-16.909405,-4.8687205,0.016540492,-1.9756963,-7.4100285,9.997188,2.180897,10.600456,-2.457323,2.8934138,-1.5508071,cats
0,-397.18878,154.72661,-23.62618,47.46602,-1.1024624,14.4072275,-16.16992,3.9100597,-16.688034,-13.174815,3.4377112,-14.128767,-5.32958,-11.1503105,-3.4907296,-12.789035,-4.3533926,-6.6971736,-5.9365897,-7.113724,cats
0,-263.491,127.642586,-32.35469,66.556564,-34.137676,39.81911,-13.02568,16.183525,-4.1619425,1.9811575,-2.0489845,-3.8309264,9.764698,-6.5674,12.005159,-9.0161,6.110308,-6.290074,4.2701173,-3.73949,cats
0,-285.01974,88.70207,-27.933092,5.4199657,-30.354176,10.730832,-8.285243,-0.76787585,-5.8611073,-4.7064347,-9.919373,-9.070243,-0.2881187,-5.6077604,11.444672,-9.723987,2.6580703,4.7368684,-1.383986,3.0552573,cats
