,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Duygu
0,-292.69397,118.43439,-60.63107,-29.926126,-27.657194,-29.683304,-21.901468,-20.574575,-6.1049476,-11.0838585,-2.0983956,7.5666633,0.7273581,4.389581,-2.8918169,-13.282346,-7.2472715,-1.2291027,-4.499921,-4.4953046,dogs
0,-274.81552,160.03116,8.429619,-15.106871,-29.25663,-8.308361,-17.632801,-3.2364945,-5.522741,-13.357697,-7.3274345,-6.9457064,1.6140296,-2.4862235,2.0242784,11.638017,14.219308,6.2661314,3.435108,3.43762,dogs
0,-403.19193,79.26717,54.730022,34.94223,26.062454,22.738886,20.126602,17.992786,16.649654,15.09009,12.416461,8.579247,4.231917,0.44353995,-2.0181155,-3.0876257,-3.0913646,-2.6310413,-2.5421143,-3.265988,dogs
0,-291.72183,164.27983,9.988005,-5.0587773,-3.6561782,4.5123596,-16.51442,-4.7601423,2.1351156,-4.1268134,-1.1638701,2.283794,4.032885,-0.8625021,1.1337715,5.161002,9.906527,3.9383614,6.631793,5.975021,dogs
0,-255.37334,120.592316,-55.301605,-25.396809,-41.947216,3.115256,-16.53405,5.5184946,14.122767,2.5934052,7.202224,-14.200591,-4.2396755,-4.242539,-5.766205,-4.8377004,-8.335448,-5.296044,-7.3828816,-8.723935,dogs
0,-230.04356,78.7168,-55.629353,70.8644,-52.529533,63.614826,-25.371664,33.90684,-16.132954,12.101852,-2.2246845,-4.6170945,10.404718,-14.552897,14.496277,-16.865389,11.429811,-13.745112,6.2686095,-7.755744,dogs
0,-330.0975,97.024864,-83.92347,-37.761005,-29.391205,-18.836843,-17.50777,2.1449616,-8.619308,-2.7406008,-6.077514,-10.3335,-0.7192899,-4.244373,3.6736712,-0.18154132,3.3163247,0.024034174,0.79753226,-2.3012056,dogs
0,-416.00266,82.267044,47.222393,23.67448,0.56777245,-8.62902,-4.120881,-0.5571991,2.2717102,3.3592198,0.9779924,-1.8995036,-1.5680728,-0.2979157,-0.9161957,1.1890744,3.2203333,1.5632819,1.0997201,1.3805137,dogs
0,-416.8677,118.94427,19.591629,13.578344,9.555096,12.185247,8.624341,8.76268,1.5726388,1.086049,2.5514877,3.1364222,3.9086096,4.8903894,8.027823,1.6252799,3.9377651,4.9073496,2.1626737,-0.71519536,dogs
0,-191.40588,137.65652,-68.97286,-20.589699,-50.45016,13.772068,-25.723703,9.1271,-4.306068,10.15055,2.2213795,-12.047517,-4.4381523,-13.707959,4.9489794,-9.46072,0.46407583,-7.946503,8.5431185,1.9067185,dogs
0,-359.48166,130.4287,6.966209,-13.734134,-15.009936,-9.251438,-10.437838,2.0394409,-2.7641888,4.640429,2.2520165,1.3375771,1.8901569,-1.3956214,10.171891,6.801522,4.657983,0.09842494,-3.044165,-8.425011,dogs
0,-347.1691,124.04501,-7.7105236,-7.5617733,-29.5057,-8.386259,-18.456701,-19.9403,-16.10004,-8.234957,-1.1436999,-6.3355675,-0.772786,0.4260903,-1.6285058,-9.199819,-2.6456077,-0.4934959,-2.6712294,-3.2376053,dogs
0,-254.90059,145.18968,-65.13659,-50.402832,-41.664917,-41.31732,-24.327608,-15.419419,-11.123369,-13.488465,4.910601,1.1917342,-10.047924,14.03986,11.895322,-11.375312,-11.456517,-4.171287,-6.937067,-11.361488,dogs
0,-332.6015,117.93854,-10.724133,25.350567,-26.507158,18.414755,0.58249414,2.999297,8.00219,9.231458,3.848735,2.084444,14.690501,-1.2297474,-2.1549623,-5.931669,-0.75109994,-0.11922503,2.1457565,-2.2224345,dogs
0,-243.88696,157.27505,22.111208,54.007465,-9.745467,14.449455,1.4274318,-2.088427,-4.5419393,6.1072516,1.1388062,1.4505304,5.5682554,-8.323186,-0.21811461,-13.640202,0.43325168,-2.196858,-6.7082715,-0.9340367,dogs
0,-292.69397,118.43439,-60.63107,-29.926126,-27.657194,-29.683304,-21.901468,-20.574575,-6.1049476,-11.0838585,-2.0983956,7.5666633,0.7273581,4.389581,-2.8918169,-13.282346,-7.2472715,-1.2291027,-4.499921,-4.4953046,dogs
0,-199.76324,181.79,-31.359016,-33.516945,-28.02728,1.1096492,-47.870922,0.732308,-31.36441,-12.133282,1.1878692,-20.165201,0.33656725,-17.884281,-5.766126,8.692136,12.992441,5.095324,9.539192,2.1266685,dogs
0,-428.04733,130.29338,-6.1933002,-27.782907,-18.13355,5.6823945,-11.182823,-8.0325575,-8.193463,-3.6926715,6.1568327,2.607356,5.354546,7.2444673,5.4894385,-0.7717906,-0.17281054,-4.2924185,-4.3213654,-4.925639,dogs
0,-386.84045,114.19518,30.508162,2.4047925,2.126118,6.9459286,3.688965,4.3109937,-3.8475661,-11.392976,-12.380121,-10.994317,-3.7204096,1.3980478,7.399088,7.734461,2.4955323,-1.4464519,-1.5023018,0.049054924,dogs
0,-265.8037,119.3174,-11.237735,18.073019,-8.697142,20.917395,-10.349063,8.26996,-7.9935117,-4.959955,2.5546336,0.20898895,4.84848,-2.791227,7.3592887,-0.8308567,15.272312,3.9406617,3.2704508,10.161319,dogs
