,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Duygu
0,-373.59415,84.30648,-51.211506,46.816032,-17.540283,40.315243,-18.027546,6.456946,-2.8415945,8.132872,0.30034047,-3.0913398,13.129024,-4.2326083,12.765033,-8.400776,5.011675,0.39790675,5.1329265,-0.56241554,0.28704593,0.96064353,-6.772029,2.7690444,-5.4388604,3.7894332,-4.7631536,4.301718,-0.83467925,-1.8249356,1.7013811,-1.300234,2.713957,-4.8057566,2.5414917,-1.8377175,0.8465326,-3.295152,-1.4357483,0.27533403,nefes
0,-460.35373,72.73699,-25.886087,36.805695,-27.431187,49.611942,-10.3493185,12.715949,-1.7554744,7.1046696,0.27560708,-9.815914,-0.6261885,-12.073277,9.039301,-9.084231,2.8191402,-7.4847035,0.9031989,-5.3123865,-4.5167766,2.6845522,-2.6319244,3.3304915,-5.27166,4.8244166,-2.9029138,2.0111659,-0.58682644,3.5997367,0.4166889,-2.189818,1.6726592,-4.35659,3.240236,-1.8413355,2.0365076,-3.9244027,-0.7660898,-2.033075,nefes
0,-241.45363,87.739975,-72.92997,19.55997,-27.970474,29.80395,-28.041853,-13.125804,-4.6927123,9.278675,-2.5351162,-10.842745,3.7410388,-6.0485945,6.1368275,-12.185216,5.434293,-8.281505,-6.5613155,-3.5219247,-1.5461047,1.240965,-8.237894,5.064609,-4.9538617,3.365583,-0.5249294,2.1251137,0.3658328,-0.6579546,3.1130755,-2.964196,1.7740864,-2.9761949,0.5994513,-1.3655238,1.38747,-1.799461,-1.6328852,0.94367045,nefes
0,-458.88757,105.456985,-72.21409,19.818645,-36.44606,40.95462,-26.372166,-2.803704,-10.257028,9.121014,-1.3254093,-16.257414,7.8052645,-7.7539787,5.651541,-12.619398,8.7063265,-3.5778532,1.3310558,-1.0608722,-3.39664,2.3374481,-10.129412,4.358266,-5.118111,0.6006174,-3.5464122,0.2189598,-2.7185514,-1.8436124,1.9487768,-3.0318718,1.4345634,-3.9877617,-1.8578602,-3.998581,-1.1413335,-5.139817,-0.22483577,-2.5143518,nefes
0,-381.9212,95.67921,-46.637463,20.959644,-7.282544,36.18069,-29.680498,12.301364,8.264144,8.096284,3.2111933,-2.1364186,5.7596273,-4.1272373,9.070156,-8.052404,6.985998,-3.3589513,2.2692015,-1.6565824,-0.20222126,7.3301334,-1.5090771,2.7724419,-1.9568104,4.1013637,0.3668787,4.834123,-1.1410648,1.2882332,-0.87108576,-1.4737433,1.2825477,-1.2986099,2.5921886,-5.171043,0.55465204,-2.2590358,0.62868994,-0.4765538,nefes
0,-626.4093,64.87397,-34.665928,52.515625,-32.613636,29.773985,-22.610487,16.392855,-0.58455455,2.5465658,4.287411,1.3592461,8.768646,-0.57208455,12.031134,-7.764034,16.904734,-4.401935,5.475171,2.5234177,-0.99862415,5.0533423,-3.501534,7.2503543,-5.6945863,5.7804465,-2.9749963,1.8143883,0.96987814,-1.6799195,0.47519225,-1.096028,1.7062529,-3.5738482,2.1845293,-3.2188666,0.51770514,-3.2315807,-0.76806676,-1.2423232,nefes
0,-325.08533,88.213974,-71.71957,28.37521,-41.512714,26.120747,-29.319328,9.809978,-13.383332,-3.1853344,-3.9108367,-2.6994348,5.695224,-4.779929,14.089162,-13.848524,16.598845,-3.1440206,2.68002,4.379759,1.8128287,7.866074,-1.3144386,3.177634,-4.5014205,5.0477805,-8.108679,3.507506,-3.1206145,0.022846032,1.9564523,-3.8453853,2.5174174,-3.2710943,3.3472173,-3.2886999,2.669109,-1.8131015,0.62474954,-1.9229017,nefes
0,-381.71198,99.42951,-36.904865,38.86858,-13.599855,36.588654,-30.949083,5.9802566,-3.325319,-0.8169575,-3.911012,-4.8034387,7.5189404,-5.9062877,6.2063527,-10.624208,8.047113,-5.046697,-0.10954632,-0.5250567,0.85847557,3.9351485,-5.686507,1.6225507,1.6282082,6.017156,-2.3620696,5.341073,-1.2620585,2.5194414,-0.2068198,-2.154579,1.112636,-3.9030457,4.2467656,-2.199774,0.41018075,-0.9936157,-3.193414,-3.7046504,nefes
0,-323.14868,81.52466,-65.545784,56.1382,-30.029814,27.399897,-19.066082,16.904282,-5.300414,1.799952,0.939137,-4.6670585,8.578413,-9.091159,12.366975,-8.753647,4.943288,-6.486356,0.10923767,-1.7365952,-1.863492,3.0875309,-3.8926878,7.9924874,-3.9253552,3.7838912,-1.4910411,2.9799988,0.020185532,0.68810785,-0.027502218,-0.3114453,3.7061458,-3.6251,4.003634,-3.4370055,0.48463148,-0.62106323,0.04500417,-1.9250264,nefes
0,-382.39014,46.81855,-45.473267,51.151127,-40.210384,31.90757,-23.62957,26.266888,-1.039385,-6.9729285,2.7711627,3.5067418,4.9537516,-6.9522285,11.560622,-14.700767,9.1115465,-4.1780415,6.6024585,1.6101975,-1.087485,4.1410074,-4.925591,5.496334,-4.421215,3.92845,-3.1812809,4.021328,-0.8263914,1.1566865,-0.567099,-1.7146198,2.6135006,-4.340295,2.5895514,-2.9917884,0.7233239,-1.873051,2.7901146,-0.25843164,nefes
