,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Duygu
0,-289.01114,108.39093,-12.292499,10.572372,-10.69978,30.77543,-6.950687,5.84105,-16.078148,-3.0747807,1.8603146,-4.6158957,1.4163818,3.6383994,16.177038,-5.6837873,4.765797,-2.4569347,5.133003,3.0990884,-0.82903105,-0.06660952,-7.358117,1.7293426,-4.4688025,1.7958548,-1.9230404,-2.9937778,-2.682856,-1.0441633,-1.8026581,-0.5285488,-0.7493488,-2.4648976,2.2149563,-3.590812,3.6014717,-2.2798195,-1.0160874,1.1436608,oksurme
0,-287.16592,81.049355,-18.000805,25.307793,-20.66318,37.813614,-21.468264,-1.9999782,-13.244986,8.243365,4.141742,-6.5991483,10.823446,-3.6992965,5.3070445,-9.2198,3.5780268,-12.490041,0.22973421,-2.2397234,-4.2491426,1.3235521,-6.7936506,8.864134,-6.1875587,4.271802,0.5776199,-0.119002536,-1.7092686,-3.8578675,0.5704858,-5.2742977,-0.9567676,-3.898537,-0.15599108,-3.9311829,-0.04217001,-1.8259876,-2.4465022,-2.5030475,oksurme
0,-487.82904,41.2525,2.057056,19.858477,-5.2181964,9.645741,-9.724293,-0.50064266,-6.999632,-1.0045999,-7.47775,-4.703986,1.7347432,-4.3008986,-1.1520417,-4.978834,6.6984954,-6.5970135,0.8175694,-0.33262342,-1.6449301,1.5477264,-6.1235757,2.697161,-5.1887927,-1.0681896,-2.5046427,-1.8723183,0.46650225,-1.8703465,0.5901564,-1.006292,0.028796172,-0.5213437,0.40773612,-1.139975,1.5847498,-1.0936115,-0.05259533,-0.13687192,oksurme
0,-537.09827,58.60005,13.4866085,32.88612,7.182429,17.812027,-0.5447179,12.134834,4.1267185,5.6974525,6.052059,3.0684047,7.6688514,0.06399712,4.2677755,1.2253096,2.7838612,-2.1388228,-0.61126727,-0.62434214,-0.045357626,0.19853778,-1.3061062,0.99991596,-0.4452857,1.685527,-1.5393021,-0.00280194,-0.6145752,-0.4154953,-1.3459136,-1.0277635,0.23233068,-1.4303102,0.09156392,-1.018904,0.85911185,0.68979037,0.88444567,0.4749841,oksurme
0,-449.46735,69.31797,-1.1497337,21.406754,-8.021349,22.353569,-7.118423,6.4099436,-6.313965,8.874091,1.7763338,0.83991796,11.675996,-4.735762,9.8713665,-4.2073064,1.929326,-1.8845131,-0.49988008,0.0715759,0.066288434,3.42153,-1.8473039,4.4746566,-1.7013465,3.4302323,-1.9629388,-1.0369014,-0.11794392,-4.576634,-3.8659353,-3.7641788,-1.3207582,-4.6772323,-3.3640945,-5.0476813,-1.7748265,-3.4254873,-3.3458183,-3.197257,oksurme
0,-330.7248,135.78986,-31.96747,-7.5133386,16.690445,6.8966336,-6.7750134,-5.845261,-6.7469583,-5.7955947,-1.6972289,-7.5541005,-5.557752,-1.314852,-0.79277503,-0.4386812,1.5999398,-1.6398236,-4.113581,-2.8587613,-3.2461395,-1.9713515,-2.051203,-0.28799218,0.018443948,-0.98091877,-1.4117476,-1.7203636,-0.8822591,-2.5847414,-3.2233179,-2.7191167,-1.8594726,-0.8312253,-1.0075289,-1.4078137,-1.709492,-2.0148084,-2.2990596,-2.3996737,oksurme
0,-435.54898,53.545197,1.8855658,26.18767,4.151358,22.32428,-10.773887,10.692042,2.2545605,7.442446,4.9300346,-0.55654174,12.214641,3.15857,2.27695,-0.5907876,2.778308,-6.3376145,3.2168167,-2.1775358,-1.7231997,1.7554795,-1.3869376,3.434184,-2.7203486,3.2324953,-1.9017922,0.76305425,-1.0662633,-3.2630072,-1.940682,-3.0471237,-1.4105641,-3.5568767,-0.6142918,-3.712866,-0.67385215,-1.5694684,-2.1764464,-1.1338674,oksurme
0,-365.40723,64.5425,-29.274767,13.416607,-20.376986,20.994919,-15.331966,-22.719664,-10.294462,2.1326532,-3.0485787,-4.7918735,10.163986,-0.06598168,-0.24183185,1.6538743,-1.1167352,-10.699932,-0.48797742,-3.6109428,0.930849,-1.3617003,-9.083039,-0.4172098,-1.7187946,1.6280617,-3.7155113,-0.055027634,-0.39992586,-0.13471314,-3.9839878,-2.4373796,1.806165,-3.9948752,0.9871138,-2.153825,0.50042266,-0.5615908,-0.6102796,-1.2808168,oksurme
0,-463.05627,50.303284,-7.388483,15.445519,-7.679301,23.283161,-5.2451134,8.171064,-1.302589,1.5051534,7.473169,-0.7583974,5.7108192,1.9823847,3.667589,-1.4422956,0.8389042,-3.4884748,1.0280982,-3.7007165,-0.49184933,3.2223835,-0.39080754,2.7813568,0.8229646,0.7779316,-3.9287224,1.0422947,-2.0265307,-1.6227567,-2.6500065,-2.8654082,-0.1286913,-2.413454,0.6701406,-1.9176952,-1.0456936,-2.3939626,-0.882508,-1.6953475,oksurme
0,-403.36667,47.16923,-13.534832,21.81865,-9.2564535,15.904419,-8.294122,0.016613832,2.2816117,6.057894,-1.6967522,-3.388115,10.33607,-0.30094132,0.3009359,-4.3366904,2.98331,-3.7395515,-1.1523592,2.1335466,-0.38221154,1.476246,-0.8755266,1.5009779,-1.50675,3.7643287,-1.7181743,1.3271853,2.207329,-1.6291933,1.7787637,-1.8949591,-1.2250127,-1.8599194,-1.6695856,-2.8219624,-0.86279875,-1.8404928,-1.8354751,-0.5205398,oksurme
