,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Duygu
0,-262.51492,23.043074,-57.003586,-1.1118184,-67.72414,12.701398,-32.824135,12.132129,-23.234058,0.31167486,9.642339,8.746152,13.002339,-5.7883186,17.412466,-7.006823,9.165521,-7.337003,6.222162,-1.961352,0.3748833,-1.3543024,-9.461324,8.337521,-8.070783,7.871262,-3.807382,1.036361,-2.5394685,-1.2252569,-2.1660938,-7.9325624,1.8054872,-2.2545934,5.132853,-3.2041094,-0.79888874,-3.7166488,0.62490547,-4.843442,ciglik
0,-295.57047,52.883785,-72.520515,6.397372,-37.91992,27.599068,-27.130642,2.882807,-1.8284395,27.487717,5.866827,-20.998972,-6.174827,-18.665749,-2.176755,-8.190821,9.444585,-6.562522,21.853426,22.188972,-8.519284,-22.389664,-14.554879,3.0294251,-8.249138,6.8552213,2.646655,1.9957494,0.5598873,11.95565,-14.558232,-26.573565,1.320021,-0.7352654,7.6113744,2.7677293,-0.22720951,3.2165792,8.381393,-15.643872,ciglik
0,-319.00977,-2.1540637,-109.51217,23.31724,-46.02359,26.50445,3.1827755,2.998631,10.490115,17.843288,5.844666,2.905037,-8.322769,-19.829987,11.615402,-4.558586,6.988345,2.1529243,20.212154,1.2751455,-25.0328,-5.6414027,-4.4558387,4.4605575,-4.120089,2.2472644,-2.5645597,-3.747953,-1.5057534,-6.5811234,-13.495292,-5.725671,6.5184565,-2.0982115,3.6018894,-3.1838224,-0.4122948,-2.6175416,-8.281354,-3.6101935,ciglik
0,-339.58972,16.324276,-94.36123,14.579896,-39.806217,37.261856,-6.0626426,10.672939,19.73615,9.617278,-5.6955442,-9.436292,1.4595948,-3.138091,11.718055,-5.877108,0.0970176,1.9262036,9.36541,-18.901434,-8.673676,8.996151,-5.341016,5.0338182,-2.801172,1.255432,-11.916036,-1.4775208,-6.8969383,-5.3437514,8.712151,-5.678997,-1.102551,-5.0036783,-3.427376,-4.3843136,-3.4770844,-5.4962745,1.0212636,1.03911,ciglik
0,-333.20132,-15.306748,-112.93738,20.637339,-18.02049,32.61734,11.945381,-34.295986,-3.57184,12.344301,10.946629,12.494461,-11.607205,-14.673282,2.9421494,2.1906517,6.4771833,-12.107735,-10.8168125,14.383139,21.162458,-10.137979,-8.365297,0.38300654,-5.162354,8.283771,-4.906614,0.6969846,-6.4195323,8.137141,13.867994,-15.1964445,-4.0740957,2.2152038,2.0014281,0.36171043,3.315667,-11.549879,-2.4092531,15.217319,ciglik
0,-416.6454,31.976604,-68.86561,-8.952913,1.037323,16.174265,2.9958456,4.9828386,9.260737,-0.55212,-3.2800121,5.1012864,14.463644,9.152112,-0.123005725,-2.2302182,4.3564477,-0.598292,8.76462,8.194715,-5.6180863,-6.560716,-2.1770136,4.03351,6.5603437,5.951894,-6.8274174,-5.1570706,-5.437931,-1.6625723,8.361142,-1.8378835,-3.5487843,-3.8922935,0.62022734,1.3884952,1.1774762,3.9045954,-6.8559194,-6.115182,ciglik
0,-357.01672,35.97196,-84.40832,-14.596611,-9.776776,-2.7319994,-0.367544,13.696283,8.315033,13.521573,9.261107,-0.7618631,-4.4356284,-3.0497875,1.0664941,-7.806356,2.6787262,-1.8735055,7.675921,14.753662,-2.2977157,-13.164887,-2.487232,2.727807,-6.5301204,5.48797,2.669927,2.3196397,3.6982768,-0.41966623,-8.107834,-6.3398104,5.5334864,-2.0734985,0.46070883,-0.15511267,-1.5977547,0.458313,1.5527015,-3.0025525,ciglik
0,-288.969,23.333302,-69.056435,-10.339436,-49.034172,20.94298,-21.19943,23.501188,-6.1062865,13.218199,2.7310772,-7.131889,-1.9462639,-11.144383,12.179506,-7.4178395,12.505179,0.056030273,4.723759,-13.151644,-1.3496432,5.0511804,-4.5387278,5.9246435,-4.4065537,5.614164,-6.557926,4.44424,-6.4340262,-3.485545,4.701609,2.1868167,0.19944315,-6.1320243,1.6951569,-4.5683217,1.8937453,-4.6383905,3.9724522,0.60561043,ciglik
0,-278.31033,40.471188,-74.52772,-0.45499608,4.4700704,33.886246,-11.586321,-1.005486,14.565436,34.311047,-5.753985,-13.771034,11.220373,-20.558266,-4.3337684,6.5023923,6.879003,-5.679777,18.435678,-5.64215,-26.29806,14.6109705,4.187077,8.037935,-1.2301114,-4.2903247,0.75773513,6.248937,10.245654,-9.412447,2.0781403,7.7315226,0.24633728,0.6952121,-1.6492153,-2.0752666,5.536411,-0.4302768,-7.169682,0.95725906,ciglik
0,-291.7816,-10.543546,-113.24205,6.9328423,-40.621235,32.656517,-4.3092656,3.7843668,-16.758375,-15.145705,18.805851,14.985171,9.771534,-20.22749,0.3556612,0.072288774,9.977701,11.012219,-11.514195,-12.66074,15.7107725,13.167561,-8.3929205,-0.98721206,-10.969938,2.3517628,-0.33404818,2.6862805,1.482065,-17.208162,7.367667,13.510508,-5.4010053,-6.5605845,0.19040027,-6.3772283,3.6959999,12.77776,-6.170871,-11.103452,ciglik
0,-230.981,8.881574,-133.86336,-26.730045,-42.852074,37.998867,4.0837574,18.468592,14.373568,-5.9748883,-18.360304,-18.059183,26.603891,5.277525,0.09003976,-0.03572795,9.052083,-14.6616955,-17.572668,17.571106,12.015419,6.763725,-9.425082,-8.852723,-2.568596,-1.9023192,2.423591,6.2355595,8.484523,-2.0932744,-16.08133,-8.823259,5.1666718,5.5764236,3.0352187,-3.6895423,3.4707193,-9.908624,-8.602849,10.219513,ciglik
0,-450.0609,35.90766,-45.803284,-36.449516,-1.770079,5.2832603,2.8777394,6.214455,8.537358,0.87950736,-9.0229645,-4.5986648,7.84901,9.3516445,2.134664,-1.5253552,-1.8696475,-5.3386736,-4.531413,4.8131504,7.4416857,-0.012633787,-3.9688137,-2.462186,-1.6712652,0.14595093,2.3768773,3.6519015,4.302251,-2.664613,-7.9368677,0.6003336,5.782251,0.9845377,-0.59592474,0.3465739,-2.3070364,-5.061486,-0.6289522,5.407183,ciglik
0,-368.11627,23.904894,-69.94709,3.6751926,5.856437,31.169964,5.1135564,16.133835,-2.8414536,-0.34306479,7.9581985,13.201632,14.941355,-5.0550213,-4.7263412,-1.5541854,3.6628988,1.9685177,14.156817,-13.326988,-9.894531,7.5836425,4.781592,8.435076,-3.9645119,-0.5886307,-6.7912126,-0.989828,2.4166715,8.510776,-6.5657067,-12.065496,5.4518986,-1.3504504,4.337532,-1.1044341,1.512899,-7.6800413,-4.2704453,9.696002,ciglik
0,-344.14005,-6.417642,-58.90613,37.74298,-0.24361417,16.447285,-17.890831,13.908592,4.4295406,8.154078,-0.90598506,-7.3966556,11.984383,-13.040549,10.069232,-1.0801429,2.6244857,2.0966077,-6.5245066,6.9271016,-5.339524,-5.0272613,2.2068777,4.0130873,-1.4044067,-1.1460804,-2.3020647,0.5518175,-1.6784866,-4.2659,1.0001429,0.4432149,-1.6155612,-0.66979116,1.5587988,-1.3904747,-1.0003688,-4.0378256,2.0704412,-1.2024987,ciglik
0,-393.41425,117.524956,-49.946507,-34.20181,-7.3562827,16.758467,-0.55540025,-8.620906,2.8573895,-1.7588723,12.399323,24.039354,14.396055,11.728615,-9.331954,-18.965292,-0.2620541,0.6689773,-6.062432,-10.852456,6.34719,17.353296,13.190139,8.639783,6.076751,4.2200775,-12.888295,-7.1445265,5.7626233,4.472729,-6.483962,-5.6918426,11.9228115,13.716384,10.320095,-1.6577084,-10.8155155,-4.79118,3.0309553,-4.209379,ciglik
