,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Duygu
0,-433.50262,57.799015,-12.940963,35.81414,-9.148783,-18.523565,-6.6309876,-6.6293254,-12.975269,-3.6059294,-10.2283945,-6.45457,-0.77135354,-13.595436,2.3364353,-5.294894,-7.741173,1.9362196,-3.352558,-5.9115386,-7.369381,-0.2988002,-7.543819,-10.048089,-9.719503,-8.851603,-4.8942337,-4.053841,-2.5151596,-2.0228844,-0.63130385,0.44159487,4.092254,0.4459793,0.72868997,1.3384249,0.7940122,-0.5086781,-2.6945567,-0.057935417,human2
0,-465.25024,102.67257,21.16006,19.092672,12.632301,10.397678,1.0735774,-7.6264267,-7.1322575,1.2590151,-1.113727,-12.457218,-3.9640353,0.7701314,4.119428,-3.8139954,-7.6884828,4.0755877,-4.0322456,-3.5885968,-4.192581,2.2682123,-2.905002,-3.9099295,1.1706795,-2.854933,-2.3733222,2.2262897,-6.0570235,-1.6921735,-0.7489931,-2.9540837,-0.9795907,-0.025879038,-4.3654633,-2.3529742,-2.310651,-3.503209,-0.36081597,-1.5110928,human2
0,-406.3323,45.56106,-46.305454,11.13036,-14.971931,-0.57838356,-17.549248,-10.392255,-11.189236,-10.004983,-16.783915,-13.592767,-6.191888,-11.000349,-0.78196305,-6.743057,-0.6920041,-10.699496,-2.9807925,-1.4341263,-8.761056,-0.96719116,-4.5178,-0.3202653,-1.3822801,6.2035246,6.243093,3.9506335,5.1020055,5.56009,2.4028566,2.7091398,7.743401,0.2109902,2.1202226,-2.255496,-1.9158198,1.3649861,-0.41472965,-0.3625948,human2
0,-469.0712,24.187382,-7.473426,4.595088,-7.484354,3.4582303,-9.4526615,-3.9639935,-8.176168,-2.8609338,-3.2882714,-4.8348804,-2.6163332,-3.3142188,0.58102816,-4.317903,-0.7236521,-2.535798,-1.7456256,-0.6190386,-0.81398606,-1.8551441,-1.3259318,-0.78485143,-2.2528372,-0.5673606,-2.2139966,-1.4095131,-1.0759654,-0.7267862,-1.2031096,-0.99922925,0.14077437,0.42639786,0.45478144,1.5385072,2.1267657,0.91934407,0.6945072,0.48994613,human2
0,-318.16287,148.86768,-26.197903,-16.921658,-6.3487163,-4.770157,-6.4838347,-16.842186,-9.839916,-5.041998,-9.52479,-10.088075,-6.799774,-9.26133,-12.71602,-12.848927,-10.748338,-6.3161407,-3.9195669,0.6414648,0.992859,-8.220682,-10.735593,-3.281025,2.1537955,2.5005162,-2.34334,-6.2152705,-4.2837024,-2.3767335,-3.114079,-2.2861485,-1.9547627,-4.1447196,-5.375498,-2.1987424,2.4287975,1.5811553,-1.3606921,0.14604409,human2
0,-427.35233,84.59356,-15.741543,-1.6482164,7.3599887,13.850004,0.30138287,-4.721939,-15.779715,4.793664,3.4558043,-9.200204,2.2850933,-6.9675345,0.7161874,3.0656614,-1.5249934,-2.1754496,-5.2448545,-5.99287,-6.220419,-0.40004158,-1.8114489,0.4503165,-2.2903695,-1.4947486,-0.18275674,-7.8243876,-4.625367,-1.2843585,-3.9229937,-4.168745,-1.2776793,-3.953568,-3.5283165,-3.93801,-4.6742043,-0.77095646,0.12669595,-3.577754,human2
0,-310.81592,107.142105,-10.034581,-4.159966,-1.6463164,-12.228935,-8.580399,1.4853826,-14.282413,-10.201438,-3.604393,-7.943369,-4.626092,-2.0947523,-8.437558,-5.2309623,-2.8246706,-3.3129604,-1.4332514,-0.2207628,-5.682233,0.402889,-3.121551,-5.813407,-5.096189,-1.5805469,-6.7304792,-3.4404266,-3.3465216,-3.4752874,-1.6522071,1.2378632,-0.57408756,1.3313884,1.5886396,0.7367931,0.86044014,2.92951,-0.06662786,2.1636915,human2
0,-433.89285,82.713585,-32.848877,15.460167,14.404237,2.7383158,-12.697376,-4.2601566,-10.898764,-0.7081311,3.1552162,-15.740307,-7.809027,-2.43386,1.0902472,-8.587739,-4.48481,-6.717703,-11.464055,0.7558921,-6.833425,-5.1386213,-5.3896995,-8.102698,-5.8548493,-6.981572,-2.7792187,-3.8143342,-1.8470777,0.5851019,-2.0415616,-3.903748,-2.8641102,-1.071541,-0.5236596,-1.8343512,-3.1474817,-2.6196325,-4.5621424,-3.586611,human2
0,-335.4173,103.79251,-20.645132,18.21011,-21.581978,-9.615617,-18.249552,-0.50110567,-15.809701,-2.258866,-4.442247,-26.001928,2.7118745,-11.898754,-6.8742976,-1.7442017,-11.604343,-0.5203115,-3.2618341,-15.853249,-7.745103,-0.7114045,-12.189816,1.269677,-0.19220468,0.37725532,0.78388137,-5.0456214,-2.8388062,-4.741594,0.47927585,-4.113425,-6.216575,-6.3222737,-4.5395026,-5.14128,-4.5526795,-4.370716,-5.973193,-5.681478,human2
0,-361.21774,68.71378,-34.925716,16.163301,-27.841398,-10.797599,-23.894743,-13.128418,-0.36013696,-9.574008,-7.5671935,-11.43948,-14.779071,-10.15066,0.5864656,-11.064378,-3.5556655,-9.00038,-10.631563,2.8531907,-6.962275,-3.7834828,-3.6772842,2.8792107,3.4472413,-0.98881304,2.8361742,4.3028426,1.9501398,-1.4453787,4.456923,2.6708055,0.2481585,0.6564291,1.5313865,-1.3048917,0.16495165,0.42639104,-4.246429,-0.30878723,human2
