,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Duygu
0,-497.41843,46.761005,19.337618,13.700896,-2.8839548,-10.092674,-12.129441,-4.921507,-19.417965,0.9928914,-11.507771,1.292045,-5.8011446,-5.094855,-4.8924317,7.893661,-6.8494067,-3.6263769,0.075769864,-2.9545627,-3.7564914,-2.8647668,-1.9869009,1.1480335,-2.4003863,0.10865143,-2.1767526,1.114004,-0.9357887,-0.7049807,-0.47249615,-1.1644496,0.27004832,0.6534831,-2.2626677,0.5129524,-0.70534045,-0.3217265,0.5959986,-0.6213406,human
0,-263.03494,149.54323,-50.761898,56.0064,19.560427,-15.697142,-6.9529405,-17.486723,-13.31312,-6.831222,-2.2415364,0.7396091,-1.950615,-3.4662645,-6.241933,-0.63855517,-6.1896973,-4.4754233,-1.2667542,-6.122285,-4.811875,-0.5756154,-4.8296266,-5.089181,-2.0614612,-3.3838358,-4.8741474,-1.2317795,-2.283853,-2.8643563,-1.6180459,-3.1469963,-1.7982513,-1.9443144,-4.406372,-1.5006902,-2.1396644,-3.2824562,-1.1040536,-1.7963427,human
0,-489.9807,59.009323,16.406542,2.0933392,-9.133304,-11.96939,-9.958204,-3.1044683,-17.528257,-0.0054783365,-14.508422,0.68609,-3.5734236,0.2927424,-7.196904,8.595374,-9.559777,-3.1514604,2.6441143,-7.0818367,-2.265336,-2.0867674,-3.3937306,0.14871086,-1.1274124,-0.793668,0.5194614,0.029270582,-0.49551153,1.4655206,-3.2495387,-0.5273348,-1.6298298,0.031984664,-1.6502975,-0.5230495,-0.8553125,0.11383136,-0.8151734,0.24272923,human
0,-646.12823,21.15652,10.6749935,-0.33984497,-6.519011,-3.8930264,-9.191256,-2.1332057,-7.9119177,0.6930297,-4.079228,0.8449432,-3.4239998,2.0448265,-1.7684969,1.6220037,-2.2193058,-2.486217,1.3603008,-2.5564132,-0.5443647,-1.9551657,1.0484396,-0.99037343,-0.2750533,0.20788072,-0.35688338,1.2531465,0.25938147,0.993203,0.14816605,1.5677208,0.0053182193,0.82611567,0.08898887,0.5583953,-0.04349679,-0.9736013,-0.16220638,0.35134363,human
0,-287.69846,159.19414,-37.502003,37.020107,13.30285,-19.719267,1.2840824,-11.934727,-12.99365,-3.7321825,-5.84161,0.1819943,-0.67433774,-5.3491945,-0.17195512,-0.44036356,-8.201456,-3.0941062,-0.3181436,-4.1122255,-4.4773245,-1.9504657,-5.266309,-6.8690505,-3.3915546,-3.4966545,-3.1053665,-2.5587146,-2.4472713,-2.127878,-3.740641,-2.617934,-0.18556812,-1.3458021,-2.181491,-0.7612639,-0.99140096,-1.0894854,-1.2646147,-2.8312001,human
0,-278.4105,167.26091,-22.047085,24.304708,9.188422,-13.179506,1.2818047,-11.731231,-13.961712,-9.14595,-3.9334972,6.6157784,2.5271726,-5.8347793,-2.2666588,0.12962563,-11.048067,-6.8764315,2.9199686,-7.1365404,-8.372016,-0.75166154,-4.968846,-5.626363,-3.4737315,-2.8648837,-2.3583515,-3.0230489,-2.5058193,-0.97372866,-2.4533536,-2.9656372,-1.0400863,-1.2238854,-1.5857352,-1.4491807,-2.3163118,-3.3977652,-3.8876092,-3.1491516,human
0,-606.7256,32.470226,-3.2695425,9.158939,3.999254,3.1432593,-8.409212,-2.7259789,-19.034994,0.8551163,-10.727576,2.72496,-5.74534,1.8850638,-4.528162,6.4840236,-6.374953,-2.4776268,-0.63634765,-1.3167031,-2.7147331,-1.8923233,0.7134791,-0.9382633,-0.75729245,0.15519607,-1.6895853,1.1513159,-1.948301,-0.24814959,-0.48587194,-1.8654251,0.9184965,0.25853598,-1.0683763,0.7804755,-1.725383,-0.9143849,-1.8162158,-1.9205189,human
0,-505.6857,48.44776,43.32477,3.8010387,-7.226792,15.913595,-26.50186,1.7738223,-14.800589,7.8071804,-18.916414,1.3567444,-2.663695,-3.223781,-5.527951,-0.8927397,-0.99370533,-3.5066273,1.1405201,-3.920866,-2.3339868,-2.95833,-3.638792,-1.1947666,-5.9021034,1.8009001,-5.659126,-0.9555516,-4.6863174,1.6566051,-4.1564255,-0.2862705,-3.28896,2.7999551,-5.5576587,2.8229144,-2.357355,-0.9053049,-0.26666468,-1.5904413,human
0,-433.9377,57.698013,-1.8506074,26.848362,22.731419,-0.6817818,-5.819023,-8.439488,-41.600216,8.013106,-16.357613,5.293565,-18.105703,5.410457,-5.09385,6.216701,-11.884811,-6.2107825,-2.3583164,-7.1175156,-3.9271317,-4.6542892,0.45261347,-4.092738,0.6334477,-1.5833877,-1.8774787,-0.2727997,-2.267566,-0.02367951,-4.477294,0.11232821,-2.7830942,0.7122597,-1.9974943,1.0834066,-0.34679174,-3.6980984,-1.2748213,-2.349859,human
0,-528.8754,18.70495,14.315757,14.800599,10.113118,4.2679977,-8.705943,-3.2049682,-21.273022,0.51787,-13.668084,3.521756,-7.4933944,3.8468652,-5.202719,4.503851,-6.131177,-3.5811322,-2.915979,-2.356276,-3.2968283,-0.20817252,-2.3122766,1.1379132,-1.4297804,0.202812,-1.7823502,0.14965668,-2.4604008,-1.2010132,-1.8371325,-1.4075891,-2.2711027,0.27252412,-2.9668415,0.7157438,-2.1414165,-2.1037495,-3.0071304,-1.1394205,human
