,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Duygu
0,0.0026413458,0.0031418717,0.002865093,0.004685639,0.01611183,0.016483363,0.029066237,0.037628047,0.023386214,0.05568298,0.057707407,0.08597366,0.13870683,0.112478964,0.4683305,1.1242653,3.0660486,4.250917,11.685878,32.06239,38.233402,41.72877,94.61754,149.43417,111.375755,47.08366,24.724443,8.468575,11.791676,10.287098,6.513091,8.745476,7.5859385,6.155914,4.9252462,2.567706,4.1628003,9.892528,34.185764,44.783962,35.926136,26.141298,24.276957,9.169755,5.2216625,10.049454,15.272832,17.684994,10.365628,7.1398253,4.982834,8.858065,6.375718,4.8152785,3.4857798,2.7012343,1.9995689,3.4277997,3.2470596,2.0306978,2.917649,3.599863,2.733012,3.1057737,2.8766482,1.5439919,0.8369101,0.75261974,0.6025859,0.43325704,0.3286877,0.5626191,0.6030892,1.0327009,0.9401254,0.679022,0.6536272,0.58442855,0.4292379,0.36737037,0.18571053,0.10386372,0.023213644,0.0093124835,0.008790574,0.010683112,0.020764522,0.029371832,0.049562093,0.05027696,0.044536237,0.022740604,0.018689478,0.01033542,0.0041637905,0.0040088035,0.0031039105,0.0039266967,0.0042105396,0.0021669667,0.00089549593,0.00040693005,0.00025620923,0.00012878951,8.081484e-05,4.9396764e-05,1.52281e-05,1.2289246e-06,6.448028e-07,3.3201854e-07,2.0564863e-07,4.0327572e-07,1.153517e-07,8.138386e-08,7.2152154e-08,7.07429e-09,3.8730184e-09,3.511034e-09,3.279287e-09,3.1095677e-09,2.974156e-09,2.8695266e-09,2.7836347e-09,2.713836e-09,2.6599374e-09,2.6178584e-09,2.5892217e-09,2.570577e-09,dogs
0,0.08447531,0.060532406,0.06963705,0.08155776,0.121339515,0.2194709,0.33246747,0.34200102,0.44150516,1.2683271,1.5459373,2.8304584,9.703443,18.613108,52.767925,129.22406,266.07095,257.19623,116.19483,19.369272,2.0110302,2.5324914,2.0105765,3.333895,5.186903,8.246281,9.949286,13.427657,6.4110203,4.27113,2.6346114,2.7897809,3.264339,7.4223814,9.549104,7.425547,14.373167,8.621146,3.1463425,1.2305408,0.32896233,0.53395206,0.8014054,1.4199995,0.9580245,0.65353954,0.5545069,0.35000852,0.35919625,0.30718133,0.37365338,0.42729834,0.21581468,0.15776728,0.06715134,0.03840743,0.04893694,0.059651844,0.023271682,0.028609315,0.09092547,0.052874677,0.0389036,0.021845184,0.018982258,0.03391988,0.059668105,0.062308017,0.037269898,0.020823803,0.014749407,0.005046005,0.002586666,0.0021955697,0.0014636639,0.001390852,0.0014030907,0.0017802579,0.0024941654,0.0037188123,0.0029267624,0.0018219686,0.0018248936,0.0013748048,0.00087086554,0.0004515804,0.00051515666,0.0005701048,0.0006999608,0.0006021537,0.0004080653,0.00066328264,0.00068862597,0.0008673217,0.0009548183,0.00054625375,0.0007554855,0.00067603367,0.00064230873,0.00061691354,0.0013108036,0.0021863813,0.0017257949,0.0010105888,0.000703958,0.00062557345,0.0005837735,0.0005176592,0.0006099276,0.00027223333,0.00028205157,0.00025389282,0.00021357909,0.00014672225,6.0327984e-05,2.9081582e-06,1.1706199e-07,9.229143e-08,8.44563e-08,7.89032e-08,7.461121e-08,7.1341525e-08,6.870986e-08,6.660139e-08,6.4983325e-08,6.373305e-08,6.2880616e-08,6.233451e-08,dogs
0,0.009992612,2.7599835,402.723,512.7843,9.015395,1.5059624,7.6083755,1.3134167,0.0107241385,0.027073259,0.044121724,0.006971678,0.007016392,0.009556536,0.001373886,0.00043626624,0.0013911985,0.0057820654,0.002484645,0.00045261421,0.003923585,0.0056986185,0.0010112264,0.0006794366,0.0023239008,0.0076813824,0.010090135,0.004404573,0.0033565883,0.0024702426,0.00065198506,0.0008692521,0.0011104684,0.00046229246,0.00023312987,0.0003359247,0.00024079443,0.0001895244,0.00029074718,0.00053472904,0.0003121457,0.00017540572,0.0002268216,0.00015794102,0.00018660892,0.00031499373,0.00023310476,0.00013566315,0.00016320913,0.00012918081,0.00016804453,0.00018331537,0.000105441504,0.00012080876,0.000105058636,0.00013239503,0.00011103945,9.17563e-05,8.469681e-05,9.8745244e-05,8.9827205e-05,7.310414e-05,7.51724e-05,7.368413e-05,6.269912e-05,6.119108e-05,5.915991e-05,5.7665795e-05,5.2674633e-05,5.7476154e-05,4.8012113e-05,4.3381056e-05,5.313459e-05,4.2074822e-05,3.6742735e-05,3.5847468e-05,3.1470645e-05,3.2381256e-05,2.803082e-05,2.814263e-05,2.7106482e-05,2.3398e-05,2.2105425e-05,2.0658834e-05,2.0678988e-05,1.9574007e-05,1.8815728e-05,1.7738234e-05,1.706019e-05,1.5326932e-05,1.3980394e-05,1.4137537e-05,1.2614022e-05,1.2103754e-05,1.13270025e-05,1.102586e-05,1.07339665e-05,1.0327667e-05,9.797932e-06,8.644549e-06,7.839017e-06,7.868483e-06,7.150087e-06,6.023411e-06,5.416785e-06,4.6426253e-06,4.17981e-06,3.9836896e-06,3.549645e-06,3.3698175e-06,3.1322772e-06,2.9159787e-06,2.687279e-06,1.6833849e-06,4.3265382e-07,5.3119038e-08,2.0772314e-08,1.7314905e-08,1.540198e-08,1.40793e-08,1.30813245e-08,1.2328411e-08,1.1732427e-08,1.1261514e-08,1.0901717e-08,1.0627027e-08,1.04391e-08,1.0320971e-08,dogs
0,0.59402,0.7005885,0.5312646,0.32016814,0.16857292,0.17094536,0.21986747,0.3265605,0.26866832,0.2704237,0.9469216,2.3516111,9.606852,15.050278,20.158533,24.900799,53.252766,39.69273,38.05383,10.024343,5.045042,3.5087874,5.1808996,8.386147,15.019816,8.326634,3.6914694,5.3650093,9.324316,23.490026,16.319073,4.3538904,3.9444916,15.410645,15.9319515,1.0170181,0.18761428,0.24400802,0.35113358,0.37863278,0.23048662,0.2311959,0.17178044,0.2506672,0.5036293,0.77363837,1.4557673,1.5436459,1.7665486,0.9467795,0.78623426,0.29381347,0.18592083,0.15206116,0.38573793,0.32779196,0.16567613,0.13483062,0.23133476,0.3367335,0.4450391,0.17102976,0.19096668,0.29763955,0.28798044,0.19214009,0.39247584,0.15796213,0.12631766,0.13602734,0.061267044,0.020639349,0.0046433494,0.002070101,0.002971911,0.004218051,0.0044698594,0.002660501,0.0017345524,0.0046896986,0.010843541,0.008463387,0.001392091,0.0012502618,0.0009794886,0.0011760347,0.0010676123,0.003918762,0.005577291,0.0048520463,0.0023332597,0.0019635498,0.0016826949,0.0013461034,0.0023589977,0.0068154363,0.013851978,0.003321856,0.0018942744,0.0025797877,0.0024821837,0.0029464143,0.0014747542,0.00059716194,0.0006741605,0.00141423,0.0012099874,0.0019019265,0.0009504496,0.00091538165,0.0013873718,0.0018928726,0.0021050856,0.00047143662,5.3357373e-05,3.8608277e-06,4.8049365e-08,1.6194723e-09,1.4072549e-09,1.2643075e-09,1.1586077e-09,1.0796894e-09,1.0179004e-09,9.694817e-10,9.325658e-10,9.0453345e-10,8.853128e-10,8.733567e-10,dogs
0,0.00040481842,0.0026516207,0.013784213,0.025910186,0.019214014,0.023620574,0.057367984,0.11334942,0.09968542,0.09543408,0.29812095,0.22382767,0.09281876,0.08089812,0.057387754,0.025931628,0.015390089,0.07701366,0.37965316,1.4380276,3.166267,4.175991,5.2850194,9.870849,22.246447,15.063365,14.46166,15.757685,23.133528,35.097668,52.176487,39.231586,22.037678,93.43776,103.036,26.819033,36.80967,82.49526,31.5648,6.5977526,1.6257784,3.2494485,3.4029562,5.8527117,9.065833,1.6702768,1.1523613,0.6379571,1.7366501,2.6202118,2.1938567,2.1120033,3.6815133,4.7317867,3.8643603,2.3912804,1.3920268,1.8869146,1.9037607,0.55005443,2.079294,1.8026654,1.68335,2.2737517,3.3097684,2.125688,0.7497405,0.4167571,0.2584326,0.051907953,0.042474177,0.14579055,0.06509427,0.05508174,0.20758444,0.15135522,0.1970749,0.2469906,0.19319986,0.043924876,0.07219836,0.045102794,0.035727452,0.011752855,0.022663929,0.026284568,0.015313344,0.009373815,0.0116833355,0.04518454,0.04132307,0.005366344,0.0048841997,0.005842997,0.002849296,0.0046830345,0.01027533,0.02579817,0.050245766,0.064014226,0.08695787,0.10458284,0.08740467,0.063794896,0.06766547,0.053636137,0.015780129,0.00448931,0.0008579957,0.0011400104,0.0018777575,0.0027400092,0.0017424374,0.0005766908,5.0417013e-05,2.6930377e-06,4.7822066e-08,4.478532e-09,3.6561856e-09,3.1319085e-09,2.762887e-09,2.4957618e-09,2.293573e-09,2.1393756e-09,2.023854e-09,1.9378974e-09,1.8793385e-09,1.8435934e-09,dogs
0,0.049232032,0.112002954,0.33833477,0.4359756,0.5724043,0.33714983,0.24377468,0.19527759,0.10655645,0.05792266,0.06969275,0.05421712,0.049129803,0.034930717,0.038706236,0.036047995,0.034202967,0.035695016,0.03796553,0.03743354,0.03257041,0.037273545,0.03760314,0.03644697,0.047949053,0.052785654,0.057848155,0.06895657,0.07669451,0.08293795,0.11617966,0.14618754,0.14662905,0.18993314,0.26552168,0.29794788,0.37354252,0.43644294,0.5228217,0.5939614,0.7034585,0.976583,0.8612372,0.69686025,0.93938625,0.82768047,0.6302487,0.5673657,0.5554937,0.49523678,0.40988186,0.51363504,0.4773222,0.36751384,0.33758947,0.36929193,0.31281492,0.28666133,0.2753643,0.21412125,0.20842981,0.18136255,0.20643423,0.20288388,0.1807345,0.16664408,0.14736012,0.15312123,0.16255565,0.17954193,0.16119893,0.17903073,0.1763668,0.18548499,0.20150988,0.22199024,0.19837964,0.2194889,0.2543947,0.2162018,0.264675,0.27038753,0.27629396,0.2729329,0.29960933,0.36701447,0.35406193,0.35663912,0.35450688,0.36088896,0.34001365,0.37601513,0.3837373,0.44044024,0.43726704,0.4009152,0.37950662,0.36792827,0.39963955,0.3901863,0.3493378,0.36676386,0.35209316,0.3491831,0.34159765,0.38559803,0.4469135,0.47590753,0.46387357,0.48322678,0.42225984,0.37229028,0.3228325,0.19649257,0.048902724,0.0031298872,1.8170349e-05,9.410098e-10,6.44969e-11,5.6280768e-11,5.1013797e-11,4.7445332e-11,4.483481e-11,4.2883874e-11,4.14532e-11,4.0388443e-11,3.967456e-11,3.9227278e-11,dogs
0,0.0025714776,0.0019262847,0.0028074298,0.002087926,0.003112013,0.0038592643,0.001967825,0.0029595585,0.0044787256,0.004545421,0.0131841,0.014160136,0.048522286,0.065989144,0.096076645,0.15550129,0.3819225,0.95245653,1.8021487,1.0748048,1.2379111,0.9893513,1.6487193,1.0789087,0.87405103,1.297292,1.067299,2.4181635,6.9679046,12.254812,26.059668,40.148064,27.564262,21.176529,23.203964,11.334413,20.455275,11.125956,7.614193,7.806789,15.799414,31.799755,22.57793,4.978615,2.6225858,1.7266592,5.665223,4.367262,4.9744415,5.8390856,7.6721425,6.111576,2.762124,2.4269366,1.882362,1.6729162,3.121444,2.8270555,2.9039443,2.7098653,1.9169626,0.9124541,0.7958374,1.1671265,1.678655,1.5497195,1.3820239,1.356297,1.6751192,2.2445574,0.95156026,0.8377761,0.5151534,0.4393733,0.31155017,0.18627495,0.22795247,0.21743241,0.16944088,0.12548386,0.11869993,0.058662277,0.054551266,0.038267836,0.037742067,0.022900432,0.028697016,0.033462916,0.03403795,0.014578587,0.006735753,0.005057057,0.0028086195,0.0028841514,0.0043212553,0.0017439553,0.0013040118,0.0009032396,0.0011436748,0.0010588467,0.0011603092,0.0013160579,0.0012041439,0.0008560796,0.0010166811,0.0015775319,0.0016361107,0.0019136611,0.0015174989,0.0015422466,0.0015152555,0.0009153429,0.0005511759,0.00033025414,0.00010780014,1.6039765e-05,5.9948394e-07,3.540669e-07,3.198217e-07,2.9590112e-07,2.776561e-07,2.6383537e-07,2.5281287e-07,2.4405014e-07,2.373435e-07,2.321945e-07,2.2868035e-07,2.2644996e-07,dogs
0,0.09818127,0.02279174,0.02050881,0.019871367,0.018682146,0.012732522,0.014983377,0.043731507,0.18349355,2.2921205,18.049425,56.255356,59.006,7.427842,0.3897591,0.23221032,0.33173734,0.7301037,1.0044959,1.0465631,1.0982547,4.0849605,2.5444343,1.311727,1.3146302,1.1767534,0.7320735,0.7383685,1.1591933,1.036223,1.193752,1.7498511,3.321141,2.8639066,1.4177918,0.35612324,0.09312288,0.05073226,0.03226265,0.028627144,0.021440359,0.007060492,0.00542219,0.006827378,0.0092475265,0.011555314,0.0057199276,0.0020959245,0.0011109432,0.00031298006,0.00029319339,0.0003231925,0.00023941507,0.000108892644,5.277273e-05,0.00012004773,0.00029083158,0.00020410208,0.0005558638,0.0006611165,0.00054467283,0.00018321353,0.00016343688,0.00037432593,0.0006690935,0.0018229045,0.0019601162,0.0013160199,0.00045199267,8.312105e-05,5.5118035e-05,0.00018159517,0.00044432146,0.00064354634,0.00046862804,0.00015689366,0.00015104898,0.0005539817,0.0021690319,0.0023432376,0.0007736812,0.00068911136,0.0011945384,0.00178756,0.00090957654,0.0003209487,0.00025177206,0.00010439163,6.9301714e-05,8.253881e-05,7.4715164e-05,0.00010163982,0.00011839976,8.079423e-05,5.5393702e-05,7.080291e-05,6.793141e-05,8.9287045e-05,5.944832e-05,1.2057042e-05,1.3645743e-05,2.3646806e-05,7.641693e-06,2.892942e-06,2.0285902e-06,1.6606207e-06,1.5791486e-06,1.7570441e-06,2.0598457e-06,2.4258088e-06,1.8047197e-06,2.1465169e-06,1.1250554e-06,4.75397e-07,1.2714614e-07,1.1176412e-08,5.731311e-10,4.480321e-10,3.9929063e-10,3.644941e-10,3.3756772e-10,3.167894e-10,3.0006606e-10,2.8670577e-10,2.7635857e-10,2.684028e-10,2.629268e-10,2.594878e-10,dogs
0,0.15403648,0.116227284,0.2210829,0.32268763,0.0743602,0.019610671,0.03631329,0.036323965,0.0496371,0.05603887,0.12476401,0.09500179,0.043411106,0.1037604,0.56321466,1.3567452,2.0230305,6.698488,9.006688,10.403625,9.121716,5.5890336,3.6328862,4.615861,3.1304407,0.45984778,0.28397933,0.49885097,0.31314942,0.34755155,0.71588874,0.9817653,1.5380188,2.226308,2.711299,2.0426624,2.4989483,1.8340034,2.0513258,2.1035757,2.3967276,2.4155035,1.3548149,0.83330166,0.6700356,0.5456645,0.554152,0.5962702,0.49309543,0.4688339,0.41697174,0.28007087,0.1127354,0.11548094,0.13117951,0.12284533,0.15633602,0.15603083,0.14518662,0.26085988,0.51082885,0.4054808,0.34307995,0.13795754,0.06682952,0.06759928,0.027399767,0.027871767,0.02526032,0.016871238,0.018564189,0.023917554,0.04354782,0.038625933,0.04755636,0.042202268,0.035693135,0.031233268,0.015809905,0.0045570806,0.0025207053,0.0015313626,0.0006564709,0.0007688803,0.0006711393,0.0010196343,0.001272474,0.0015585844,0.002217233,0.0012074054,0.0013268528,0.0010983786,0.0003950758,0.00016055483,0.00012266917,0.00013778212,0.00021169995,0.00021232877,0.00016506553,0.000112978945,0.000109393295,6.356072e-05,4.8270376e-05,6.618711e-05,0.00014932075,9.8665725e-05,6.7700144e-05,9.094926e-05,0.00016750293,0.0002452671,0.00025428695,0.00019865316,0.00013266437,6.945213e-05,2.5400805e-05,1.3819649e-06,1.28883935e-08,2.4974351e-09,2.1546782e-09,1.9112925e-09,1.7259387e-09,1.5844045e-09,1.4723971e-09,1.3840514e-09,1.31626e-09,1.2648053e-09,1.2292657e-09,1.2073489e-09,dogs
0,0.014151589,0.0074600573,0.02252091,0.030492878,0.027791595,0.053936794,0.102667525,0.085215054,0.08117674,0.080264635,0.17718819,0.22631088,0.14224292,0.11542992,0.13324879,0.17674428,0.22539268,0.2990836,0.33699137,0.34755933,0.3851607,0.57813203,0.7838501,0.81905705,1.556448,2.2691343,5.060545,12.85179,27.528143,42.72854,27.50144,22.67531,20.770748,10.2475195,9.474766,5.178003,4.5245423,5.549843,12.005573,21.70784,10.978507,3.4006083,2.4471152,4.573547,4.5555387,6.299743,1.9503015,0.8490519,0.7564841,0.95890445,1.1399927,1.5724937,3.5416265,4.1058617,4.7364335,3.2847662,3.9744565,5.189115,4.9249673,1.95499,0.7442262,0.42502382,0.28255755,0.19186436,0.18045564,0.13128816,0.19701138,0.38375634,0.87459975,0.54739434,0.7261589,0.7741185,0.16647631,0.063525155,0.059201863,0.0336252,0.017980248,0.022616826,0.038414616,0.04437222,0.048103705,0.081624225,0.12229886,0.031573176,0.0421726,0.046902448,0.030204568,0.017023984,0.013255197,0.014187322,0.015809186,0.011764143,0.018623786,0.030708699,0.013256754,0.014736731,0.011258814,0.013768207,0.014450075,0.017438238,0.022053333,0.026550937,0.017268697,0.021150362,0.017953161,0.021040386,0.014096784,0.012993514,0.01712788,0.024740081,0.040688924,0.024199635,0.024528608,0.019125838,0.009676325,0.0008878065,4.21398e-06,5.0759162e-08,4.287435e-08,3.791767e-08,3.4427874e-08,3.1921836e-08,3.002846e-08,2.858716e-08,2.751433e-08,2.6715298e-08,2.6175567e-08,2.584189e-08,dogs
